ELE/MEC,EQUIPAMENTO,MARCA ,MODELO,RANGE,"UNIDADE
RANGE",COD INTERNO,SERIAL,DIVISÃO,PS,ENTRADA OF ET,SAÍDA/CAL,RETORNO CAL,ULTIMA CALIBRAÇÃO,CICLO CALIBRAÇÃO,PRÓXIMA CALIBRAÇÃO,VALIDADE CALIBRAÇÃO,CERTIFICADO  ,SITUAÇÃO,COMENTÁRIOS,CUSTO ESTIMADO,CUSTO CONTRAT (R$),PAGAMENTO,LOCAL CALIBRAÇÃO,item,CERTIFICADO 
MEC,TORQUÍMETRO ,FACOM,Facom – 1-10 Nm,10.0,Nm,MAN-EXO-MEC-028,Y110663,EXOCET,MQT LT2 / 2026,10/24/24,10/28/24,,11/13/23,12,11/13/24,DESCALIBRADO,1633/23,CMASM,VRF CALIBRADO 2026,R$ 100.00,R$ 70.00,,MQT 129/2025,35,1417/26
MEC,TORQUÍMETRO ,SAM,,,,,,EXOCET,MQT LT2 / 2026,09/16/24,09/18/24,10/16/24,09/16/24,12,09/16/25,DESCALIBRADO,,CMASM,,,R$ 70.00,,MQT 129/2025,35,
ELE ,ANALISADOR DE SEGURANÇA,GW INSTEK,GPT-9802,"0.1...5kV AC, 0.1...6kV DC",,CMASM-IDE-F21-001,GEU212321,F-21,CMS 2026,08/23/24,09/16/24,10/30/24,10/22/24,12,10/22/25,DESCALIBRADO,,CMASM,,"R$ 3,104.95",R$ 967.01,,CMS,,
MEC,CONTROLADOR DE PRESSÃO,MENSOR,CPC3000,"1 a 100 bar
15 a 1 500 psi","bar
Psi",CMASM-IDE-F21-002,410009GB,F-21,visomes lt2/2026,08/23/24,11/25/24,,06/27/23,12,06/27/24,DESCALIBRADO,certificado nº P-0603/2023,CMASM,,R$ 550.00,R$ 550.00,,VISOMES 229/2025,,
ELE ,DIFFERENTIAL PROBE ,TESTEC,TT-SI 9001,"±1000 V AC 
1400 V AC/DC 
100 MHz",,CMASM-IDE-F21-003,1805707,F-21,,03/05/24,03/05/24,03/14/24,03/12/24,24,03/12/26,DESCALIBRADO,certificado nº 2142016/2024,CMASM,,R$ 373.83,R$ 322.00,,MQT 129/2025,,
MEC,DINAMÔMETRO DIGITAL,YALE,TMC 1500,"1,500.00",KG,CMASM-IDM-F21-001,100614139,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,MQT31199/24 ,CMASM,,R$ 84.33,R$ 228.00,,MQT 129/2025,,
ELE ,FONTE DC,AMETEK ,XG 300-2.8,"0-300V , 0-2.8A ,850W",,CMASM-IDE-F21-004,1524A03449,F-21,MQT LT2 / 2026,12/15/25,12/15/25,01/23/26,01/07/26,12,01/07/27,SEM CONDICOES DE USO,certificado nº 2142107/2024 ,CMASM,,,R$ 350.00,,MQT 129/2025,10,
ELE ,FONTE DC,BK PRECISION,BK9801,"    Output Voltage: 0-300V
    Output Current: 3.0A at 0-150V , 1.5A at 0-300V
    Max Power: 300VA",,CMASM-IDE-F21-005,461F17128,F-21,MQT LT2 / 2026,05/03/23,05/03/23,05/18/23,06/30/25,12,06/30/26,CALIBRADO,certificado nº 2142034/2023,CMASM,,"R$ 1,000.56",R$ 180.00,,MQT 129/2025,9,
ELE ,FONTE DC,TDK-LAMBDA ,Z1020 LAN,10 V /  20 A ,,CMASM-IDE-F21-006,EAY-849A001-0001,F-21,MQT LT2 / 2026,05/03/23,05/03/23,05/18/23,06/30/25,12,06/30/26,CALIBRADO,certificado nº 2142033/2023,CMASM,,"R$ 1,000.56",R$ 180.00,,MQT 129/2025,9,
ELE ,FONTE DC,TDK-LAMBDA,GENH30-25 LAN,30 V /  25 A,,CMASM-IDE-F21-007,LOC-843A174-0001,F-21,MQT LT2 / 2026,05/03/23,05/03/23,05/18/23,06/30/25,12,06/30/26,CALIBRADO,certificado nº 2142032/2023,CMASM,,"R$ 1,000.56",R$ 180.00,,MQT 129/2025,9,
